Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"26/Hand",6.992270092972936e-5,6.900212472195136e-5,7.155965484459612e-5,3.1081679795050804e-6,1.899790783877642e-6,4.827821702260677e-6
"26/SYB",6.2216163771227e-4,6.197869886644183e-4,6.263005842454733e-4,7.991211418943337e-6,5.185138199145498e-6,1.2369214707045733e-5
"26/Uni",1.034300997345285e-4,1.0304776303131472e-4,1.0396329037506473e-4,1.170635872162911e-6,8.538610550310974e-7,1.4197669174383634e-6
"27/TYB",1.80165789462626e-4,1.7781021390110257e-4,1.8518211636692287e-4,8.285780286348642e-6,9.43687922719154e-7,1.3361888441911963e-5
"27/Hand",2.029939528865119e-4,2.0112475122635563e-4,2.0656546320145332e-4,6.48321620606119e-6,3.284469328236241e-6,9.850796940135e-6
"27/SYB",1.673934481479228e-3,1.6676211575046178e-3,1.6821646908298134e-3,1.878785299790539e-5,1.5081063521540297e-5,2.4039135778938546e-5
"27/Uni",4.0028493336091443e-4,3.9832672209789353e-4,4.0276766549795866e-4,5.710742966107695e-6,4.635834314732404e-6,7.478018852625654e-6
"28/TYB",4.0051699411124e-5,3.988130959992607e-5,4.0331125985831025e-5,5.597259460172331e-7,3.801567165973529e-7,8.603082975716866e-7
"28/Hand",3.9572469870848894e-5,3.9425472484837316e-5,3.984081409229287e-5,4.997628968681947e-7,2.921708576989176e-7,7.259560360216817e-7
"28/SYB",3.2811344214715065e-4,3.2413423606194556e-4,3.37306862557307e-4,1.4703517524884788e-5,4.984592625784755e-6,2.529612112396264e-5
"28/Uni",6.816532997828391e-5,6.783313342473574e-5,6.86109078116715e-5,9.950071623560396e-7,7.735951797397864e-7,1.284441352131492e-6
"29/TYB",2.73873827792704e-4,2.7140381131321196e-4,2.774596432223916e-4,7.683813209205886e-6,5.40181651686555e-6,9.73230753170278e-6
"29/Hand",3.1217992850579324e-4,3.085297400597483e-4,3.1676710196770736e-4,1.0704449360631876e-5,8.752754867449105e-6,1.3329823786025776e-5
